,State Abbreviation,Average Household Income 2020/2021,"Percent Change in Household Income, 1984-2019","Average Yearly Percent Change in Household Income, 1984-2019",MinWage,City,"Percent Change in Housing Prices, 2000-2019","Average Yearly Percent Change in Housing Prices, 2000-2019",Average House Price 2020/2021,County Name,Violent Crime Total,Property Crime Total,Property Crime Per Capita,Violent Crime Per Capita,Total Crime Per Capita,State,County,TotalPop,Men,Women,VotingAgeCitizen,Employed,Hispanic,White,Black,Native,Asian,Pacific,Income,IncomePerCap,Poverty,ChildPoverty,Professional,Service,Office,Construction,Production,Drive,Carpool,Transit,Walk,OtherTransp,WorkAtHome,MeanCommute,PrivateWork,PublicWork,SelfEmployed,FamilyWork,Unemployment
13,AL,57086.0,38.14394730127803,1.0595540917021675,7.25,Gordo,64.9705285229503,3.248526426147515,135783.83333333334,Pickens County,0.0,12.0,0.0075949367088607,0.0,0.0075949367088607,Alabama,Pickens County,20170.0,9601.0,10569.0,15585.0,6903.0,3.84,55.66,39.3,0.1,0.04,0.04,35457.2,20025.8,22.7,34.02,21.72,18.0,22.48,13.34,24.5,83.14,10.12,0.74,1.28,0.26,4.42,29.34,77.7,16.64,5.36,0.28,11.56
14,AL,57086.0,38.14394730127803,1.0595540917021675,7.25,Hayden,56.4516977628123,2.8225848881406153,209297.32323232322,Blount County,1.0,19.0,0.013980868285504,0.0007358351729212,0.0147167034584253,Alabama,Blount County,57667.0,28490.0,29177.0,42513.0,21380.0,9.87,86.64,1.33,0.36,0.13,0.0,46325.56,21598.44,16.42,26.31,27.73,13.2,23.08,16.31,19.69,87.74,9.34,0.2,0.44,0.34,1.91,35.01,83.52,12.27,4.02,0.14,4.77
15,AL,57086.0,38.14394730127803,1.0595540917021675,7.25,Jasper,10.38731803118372,0.5193659015591859,149124.6,Walker County,45.0,422.0,0.0320254989754875,0.0034150413599453,0.0354405403354329,Alabama,Walker County,64927.0,31709.0,33218.0,49884.0,24280.0,2.64,88.97,6.23,0.09,0.34,0.0,38872.22,20489.67,21.71,31.79,25.21,17.44,23.19,14.94,19.21,86.3,9.92,0.24,1.2,0.94,1.4,30.04,80.58,14.02,5.33,0.06,10.52
16,AL,57086.0,38.14394730127803,1.0595540917021675,7.25,Mobile,27.622629647437385,1.3811314823718692,145263.7916666667,Mobile County,6770.0,27430.0,0.112929920047428,0.0278722405658435,0.1408021606132716,Alabama,Mobile County,414328.0,197968.0,216360.0,309967.0,173195.0,2.49,47.67,45.89,0.51,1.65,0.01,42101.5,22688.1,23.72,34.45,29.09,21.39,25.09,9.64,14.79,84.05,8.38,1.16,1.56,1.12,3.72,23.99,82.63,12.79,4.36,0.21,9.36
17,AL,57086.0,38.14394730127803,1.0595540917021675,7.25,Northport,56.878152553657,2.8439076276828503,221400.66666666666,Tuscaloosa County,72.0,311.0,0.0118210498308563,0.0027367060701661,0.0145577559010224,Alabama,Tuscaloosa County,204424.0,98725.0,105699.0,156404.0,90941.0,3.52,58.67,34.79,0.12,1.56,0.03,50385.43,24264.96,20.85,23.2,34.54,19.13,20.59,8.45,17.29,83.82,8.43,0.7,2.23,1.39,3.42,21.56,76.92,18.98,3.97,0.13,7.73
18,AL,57086.0,38.14394730127803,1.0595540917021675,7.25,Opelika,45.22262093966262,2.261131046983131,196862.5833333333,Lee County,215.0,948.0,0.0299582859309821,0.0067943369991151,0.0367526229300973,Alabama,Lee County,156597.0,77172.0,79425.0,117422.0,71677.0,3.8,66.91,23.94,0.11,3.54,0.0,44587.15,25076.63,26.5,25.28,39.35,17.68,23.02,7.39,12.55,83.3,8.13,0.94,3.35,1.27,3.0,21.69,77.37,18.32,4.18,0.12,6.34
19,AL,57086.0,38.14394730127803,1.0595540917021675,7.25,Orange Beach,119.85822050661777,5.992911025330889,514941.5416666666,Baldwin County,14.0,182.0,0.0282608695652173,0.0021739130434782,0.0304347826086956,Alabama,Baldwin County,203360.0,99527.0,103833.0,155376.0,89527.0,4.01,83.25,10.02,0.89,0.54,0.0,52732.23,29130.71,12.87,17.27,33.46,18.6,25.9,10.55,11.47,84.07,7.71,0.1,0.85,1.35,5.93,27.05,80.35,12.78,6.8,0.07,6.22
20,AL,57086.0,38.14394730127803,1.0595540917021675,7.25,Parrish,24.386270814565908,1.2193135407282953,81268.0,Walker County,3.0,44.0,0.0476706392199349,0.0032502708559046,0.0509209100758396,Alabama,Walker County,64927.0,31709.0,33218.0,49884.0,24280.0,2.64,88.97,6.23,0.09,0.34,0.0,38872.22,20489.67,21.71,31.79,25.21,17.44,23.19,14.94,19.21,86.3,9.92,0.24,1.2,0.94,1.4,30.04,80.58,14.02,5.33,0.06,10.52
21,AL,57086.0,38.14394730127803,1.0595540917021675,7.25,Phenix City,8.432770969952411,0.42163854849762056,131682.54166666666,Russell County,265.0,1592.0,0.0433268016546919,0.0072120618332244,0.0505388634879163,Alabama,Russell County,58480.0,28424.0,30056.0,42923.0,22959.0,4.23,47.79,43.54,0.38,0.54,0.18,38270.69,20804.77,22.88,32.29,26.09,20.37,25.02,8.6,19.88,84.67,9.52,0.37,1.43,1.14,2.85,24.97,78.09,17.75,3.98,0.16,10.72
22,AL,57086.0,38.14394730127803,1.0595540917021675,7.25,Prichard,-47.76626065288515,-2.3883130326442576,40002.375,Mobile County,202.0,376.0,0.0177609825224374,0.0095418044402456,0.027302786962683,Alabama,Mobile County,414328.0,197968.0,216360.0,309967.0,173195.0,2.49,47.67,45.89,0.51,1.65,0.01,42101.5,22688.1,23.72,34.45,29.09,21.39,25.09,9.64,14.79,84.05,8.38,1.16,1.56,1.12,3.72,23.99,82.63,12.79,4.36,0.21,9.36
23,AL,57086.0,38.14394730127803,1.0595540917021675,7.25,Saraland,62.69951931897405,3.134975965948702,170272.7916666667,Mobile County,29.5,349.5,0.0236864741671009,0.0019989988785389,0.0256854730456398,Alabama,Mobile County,414328.0,197968.0,216360.0,309967.0,173195.0,2.49,47.67,45.89,0.51,1.65,0.01,42101.5,22688.1,23.72,34.45,29.09,21.39,25.09,9.64,14.79,84.05,8.38,1.16,1.56,1.12,3.72,23.99,82.63,12.79,4.36,0.21,9.36
24,AL,57086.0,38.14394730127803,1.0595540917021675,7.25,Satsuma,56.251463337949126,2.8125731668974563,180159.29166666666,Mobile County,10.0,45.0,0.0072417122626327,0.0016092693916961,0.0088509816543289,Alabama,Mobile County,414328.0,197968.0,216360.0,309967.0,173195.0,2.49,47.67,45.89,0.51,1.65,0.01,42101.5,22688.1,23.72,34.45,29.09,21.39,25.09,9.64,14.79,84.05,8.38,1.16,1.56,1.12,3.72,23.99,82.63,12.79,4.36,0.21,9.36
25,AL,57086.0,38.14394730127803,1.0595540917021675,7.25,Sumiton,26.563408579139054,1.3281704289569527,127253.33333333334,Walker County,3.0,85.0,0.0367806144526179,0.0012981393336218,0.0380787537862397,Alabama,Walker County,64927.0,31709.0,33218.0,49884.0,24280.0,2.64,88.97,6.23,0.09,0.34,0.0,38872.22,20489.67,21.71,31.79,25.21,17.44,23.19,14.94,19.21,86.3,9.92,0.24,1.2,0.94,1.4,30.04,80.58,14.02,5.33,0.06,10.52
26,AL,57086.0,38.14394730127803,1.0595540917021675,7.25,Sylacauga,48.3971423100609,2.419857115503045,106622.58333333333,Coosa County,87.0,465.0,0.0392107260308626,0.0073362003541613,0.046546926385024,Alabama,Coosa County,10955.0,5474.0,5481.0,8989.0,3897.0,0.13,66.63,31.93,0.07,0.0,0.0,36773.33,20556.33,14.2,16.23,17.37,23.53,23.17,14.4,21.53,83.53,9.7,0.77,1.53,0.57,3.97,29.63,79.17,15.47,5.37,0.0,11.37
27,AR,51966.0,48.058302167119216,1.3349528379755338,11.0,Alma,59.154938573503756,2.9577469286751876,157229.60984848486,Crawford County,29.5,155.0,0.0262059620596206,0.0049849061781757,0.0311908682377963,Arkansas,Crawford County,62119.0,30587.0,31532.0,45393.0,25751.0,8.35,83.57,1.51,1.65,1.85,0.0,43170.45,21722.82,17.35,24.98,28.95,16.49,24.51,10.22,19.85,87.25,8.15,0.21,1.83,0.35,2.2,21.96,82.88,13.26,3.83,0.05,6.37
28,AR,51966.0,48.058302167119216,1.3349528379755338,11.0,Amity,71.87701675780995,3.5938508378904976,95649.20833333333,Clark County,1.5,5.0,0.0074506323010498,0.0022388059701492,0.009689438271199,Arkansas,Clark County,22495.0,10697.0,11798.0,17814.0,10291.0,4.58,68.9,23.9,0.3,0.72,0.0,38455.6,20337.0,22.04,29.3,33.36,20.66,23.8,7.84,14.34,79.06,12.64,0.42,3.5,0.78,3.66,21.4,75.32,19.12,5.34,0.24,4.28
29,AR,51966.0,48.058302167119216,1.3349528379755338,11.0,Arkadelphia,58.19736994947049,2.9098684974735245,115006.58333333334,Clark County,39.0,201.5,0.0188589804615405,0.0036482002366529,0.0225071806981934,Arkansas,Clark County,22495.0,10697.0,11798.0,17814.0,10291.0,4.58,68.9,23.9,0.3,0.72,0.0,38455.6,20337.0,22.04,29.3,33.36,20.66,23.8,7.84,14.34,79.06,12.64,0.42,3.5,0.78,3.66,21.4,75.32,19.12,5.34,0.24,4.28
30,AR,51966.0,48.058302167119216,1.3349528379755338,11.0,Ash Flat,44.25301721983081,2.2126508609915403,74758.04166666666,Sharp County,6.5,50.5,0.0459120214148937,0.0059053767813031,0.0518173981961968,Arkansas,Sharp County,17041.0,8336.0,8705.0,13330.0,5867.0,2.47,93.4,0.35,0.48,0.38,0.0,31478.75,19475.5,23.25,35.83,26.58,22.88,21.32,13.92,15.25,78.58,13.28,0.0,0.9,2.17,5.02,26.45,73.62,13.77,12.6,0.0,6.75
31,AR,51966.0,48.058302167119216,1.3349528379755338,11.0,Atkins,103.52161700683334,5.176080850341667,106321.79166666666,Pope County,7.0,72.0,0.0236842105263157,0.0023026315789473,0.0259868421052631,Arkansas,Pope County,63372.0,31373.0,31999.0,46772.0,27026.0,6.71,86.85,2.7,0.35,1.1,0.0,42910.0,22379.09,19.1,24.51,30.81,17.54,22.34,11.81,17.49,84.19,9.02,0.11,2.12,1.55,2.99,19.29,79.33,14.07,6.46,0.14,7.17
32,AR,51966.0,48.058302167119216,1.3349528379755338,11.0,Augusta,22.80860095610261,1.1404300478051304,42825.0,Woodruff County,4.5,11.5,0.0060176262251873,0.0023544189111275,0.0083720451363149,Arkansas,Woodruff County,6763.0,3193.0,3570.0,5272.0,2603.0,0.5,67.6,29.2,0.0,1.3,0.1,29949.0,19998.5,26.7,35.0,34.05,16.4,22.3,12.5,14.75,83.6,8.85,1.3,2.65,1.05,2.55,17.5,80.05,13.4,6.6,0.0,10.8
33,AR,51966.0,48.058302167119216,1.3349528379755338,11.0,Austin,34.74767323650037,1.7373836618250185,161335.6666666667,Lonoke County,6.5,45.5,0.0100188228940768,0.0014548862649841,0.011473709159061,Arkansas,Lonoke County,71568.0,35222.0,36346.0,52084.0,32577.0,4.37,83.11,9.49,0.36,0.65,0.06,54979.12,25225.81,13.01,18.13,34.22,15.94,22.73,12.34,14.76,86.66,7.54,0.16,2.35,0.8,2.46,26.14,76.87,17.93,5.08,0.12,5.08
34,AR,51966.0,48.058302167119216,1.3349528379755338,11.0,Bald Knob,32.63696621338089,1.6318483106690445,92270.29166666666,White County,13.0,87.5,0.0305516759776536,0.0045391061452513,0.035090782122905,Arkansas,White County,78706.0,38653.0,40053.0,58682.0,32331.0,4.18,88.71,3.7,0.27,0.62,0.05,43785.15,22559.92,17.58,20.42,32.56,18.26,20.58,11.78,16.81,82.58,10.79,0.05,2.65,0.89,3.03,23.61,79.75,13.84,5.92,0.51,6.31
35,AR,51966.0,48.058302167119216,1.3349528379755338,11.0,Barling,46.70474212530287,2.3352371062651436,127194.65909090909,Sebastian County,27.0,72.0,0.0141484358387431,0.0053035135777452,0.0194519494164884,Arkansas,Sebastian County,127362.0,62180.0,65182.0,89587.0,55376.0,14.54,68.72,7.23,1.13,4.57,0.02,42495.62,23899.19,22.94,32.62,28.61,18.41,24.02,9.68,19.28,81.43,12.28,0.44,1.93,1.77,2.16,18.17,85.7,9.7,4.4,0.2,5.31
36,AR,51966.0,48.058302167119216,1.3349528379755338,11.0,Batesville,58.79151850951455,2.9395759254757277,107898.48106060606,Independence County,35.5,242.0,0.022180263356028,0.0032543386251922,0.0254346019812203,Arkansas,Independence County,37097.0,18054.0,19043.0,27667.0,15305.0,6.69,88.51,1.99,0.19,0.92,0.01,42417.5,23965.25,19.16,27.96,29.61,16.35,19.48,14.58,19.94,81.58,11.91,0.24,1.49,1.3,3.51,18.02,78.09,15.31,6.58,0.04,6.42
37,AR,51966.0,48.058302167119216,1.3349528379755338,11.0,Bay,49.805853384149145,2.490292669207457,95197.20833333334,Craighead County,9.0,15.0,0.0082281952825013,0.0049369171695008,0.0131651124520021,Arkansas,Craighead County,104246.0,50774.0,53472.0,75467.0,48216.0,5.36,76.54,13.67,0.2,1.04,0.15,46445.94,24690.41,20.1,27.62,33.12,17.79,22.16,9.98,16.94,80.65,12.0,0.26,2.71,0.79,3.58,18.06,79.58,13.85,6.38,0.18,6.69
38,AR,51966.0,48.058302167119216,1.3349528379755338,11.0,Beebe,55.81450605405976,2.790725302702988,137069.29166666666,White County,24.5,171.0,0.0206484897749701,0.0029587138488074,0.0236072036237775,Arkansas,White County,78706.0,38653.0,40053.0,58682.0,32331.0,4.18,88.71,3.7,0.27,0.62,0.05,43785.15,22559.92,17.58,20.42,32.56,18.26,20.58,11.78,16.81,82.58,10.79,0.05,2.65,0.89,3.03,23.61,79.75,13.84,5.92,0.51,6.31
39,AR,51966.0,48.058302167119216,1.3349528379755338,11.0,Bella Vista,62.96590447476876,3.148295223738438,223736.0416666667,Benton County,57.0,172.0,0.0058441790674697,0.00193628214103,0.0077804612084998,Arkansas,Benton County,251823.0,124632.0,127191.0,165781.0,119813.0,15.98,74.89,1.45,1.42,3.47,0.46,62364.84,30986.78,11.03,15.03,36.61,13.83,26.13,8.74,14.69,84.94,8.57,0.14,1.66,0.79,3.9,20.25,85.73,8.18,5.99,0.1,3.24
40,AR,51966.0,48.058302167119216,1.3349528379755338,11.0,Benton,48.2385764077639,2.4119288203881952,174282.9583333333,Saline County,204.0,1175.5,0.0311677056591502,0.005408894953692,0.0365766006128423,Arkansas,Saline County,116252.0,57280.0,58972.0,86881.0,55741.0,4.34,86.81,5.56,0.32,1.08,0.12,60899.43,28567.0,8.21,10.78,35.29,15.21,26.82,10.5,12.17,86.06,9.22,0.05,0.48,1.13,3.04,26.92,79.37,15.99,4.6,0.06,4.23
41,AR,51966.0,48.058302167119216,1.3349528379755338,11.0,Bentonville,69.19777398537389,3.4598886992686944,302124.0833333333,Benton County,174.5,789.5,0.0134263215422608,0.0029650208585954,0.0163913424008562,Arkansas,Benton County,251823.0,124632.0,127191.0,165781.0,119813.0,15.98,74.89,1.45,1.42,3.47,0.46,62364.84,30986.78,11.03,15.03,36.61,13.83,26.13,8.74,14.69,84.94,8.57,0.14,1.66,0.79,3.9,20.25,85.73,8.18,5.99,0.1,3.24
42,AR,51966.0,48.058302167119216,1.3349528379755338,11.0,Berryville,72.85510645146458,3.6427553225732288,134260.875,Carroll County,13.0,135.5,0.0243778232205733,0.0023400697328539,0.0267178929534273,Arkansas,Carroll County,27782.0,13634.0,14148.0,20196.0,11400.0,12.28,82.86,0.48,0.62,1.2,0.46,39950.8,21984.8,15.9,24.42,28.96,18.76,21.74,10.66,19.9,78.24,10.18,0.0,4.7,0.46,6.42,19.44,76.12,13.22,10.52,0.14,4.72
43,AR,51966.0,48.058302167119216,1.3349528379755338,11.0,Blytheville,32.117606558884695,1.6058803279442349,86578.54166666667,Mississippi County,158.0,632.5,0.0481593703584832,0.0120427391014375,0.0602021094599207,Arkansas,Mississippi County,43534.0,21030.0,22504.0,31420.0,17270.0,4.21,56.51,36.92,0.04,0.4,0.02,35874.75,20054.58,25.81,39.77,22.47,18.87,21.29,12.87,24.52,80.82,14.54,0.45,0.96,1.6,1.66,17.81,76.24,17.7,5.85,0.2,12.5
44,AR,51966.0,48.058302167119216,1.3349528379755338,11.0,Bono,70.69734745735936,3.534867372867968,141423.5,Greene County,5.0,17.5,0.0068080849992519,0.001941292950824,0.008749377950076,Arkansas,Greene County,44197.0,21806.0,22391.0,33207.0,19093.0,2.89,93.8,0.98,0.32,0.32,0.19,46454.11,21856.33,16.93,24.88,27.17,14.88,22.11,10.24,25.6,86.86,8.61,0.07,1.17,1.19,2.08,20.16,79.73,12.8,7.34,0.13,7.49
45,AR,51966.0,48.058302167119216,1.3349528379755338,11.0,Bradford,46.898334611347266,2.3449167305673635,68924.79166666666,Jackson County,4.0,9.0,0.0122513855678511,0.0054468108769393,0.0176981964447904,Arkansas,Jackson County,17429.0,8575.0,8854.0,13868.0,5700.0,3.0,78.3,15.36,0.12,0.06,0.0,34347.6,22087.2,24.36,40.8,21.5,18.24,20.38,16.26,23.64,83.78,9.28,0.14,1.48,1.44,3.92,20.16,76.64,15.66,7.0,0.68,6.34
46,AR,51966.0,48.058302167119216,1.3349528379755338,11.0,Brookland,136.1220843003164,6.80610421501582,155461.41666666666,Craighead County,4.0,29.0,0.0070116054158607,0.0009671179883945,0.0079787234042553,Arkansas,Craighead County,104246.0,50774.0,53472.0,75467.0,48216.0,5.36,76.54,13.67,0.2,1.04,0.15,46445.94,24690.41,20.1,27.62,33.12,17.79,22.16,9.98,16.94,80.65,12.0,0.26,2.71,0.79,3.58,18.06,79.58,13.85,6.38,0.18,6.69
47,AR,51966.0,48.058302167119216,1.3349528379755338,11.0,Bryant,47.4697990856277,2.3734899542813848,182235.5,Saline County,36.5,779.5,0.0359374429129845,0.0016832881400456,0.0376207310530302,Arkansas,Saline County,116252.0,57280.0,58972.0,86881.0,55741.0,4.34,86.81,5.56,0.32,1.08,0.12,60899.43,28567.0,8.21,10.78,35.29,15.21,26.82,10.5,12.17,86.06,9.22,0.05,0.48,1.13,3.04,26.92,79.37,15.99,4.6,0.06,4.23
48,AR,51966.0,48.058302167119216,1.3349528379755338,11.0,Cabot,26.115283071063867,1.3057641535531934,170954.80681818182,Lonoke County,97.5,407.0,0.0152727155808676,0.0036596318993641,0.0189323474802317,Arkansas,Lonoke County,71568.0,35222.0,36346.0,52084.0,32577.0,4.37,83.11,9.49,0.36,0.65,0.06,54979.12,25225.81,13.01,18.13,34.22,15.94,22.73,12.34,14.76,86.66,7.54,0.16,2.35,0.8,2.46,26.14,76.87,17.93,5.08,0.12,5.08
49,AR,51966.0,48.058302167119216,1.3349528379755338,11.0,Camden,44.30637131022303,2.2153185655111516,63754.791666666664,Ouachita County,129.5,348.0,0.0329922622567183,0.0122802427603733,0.0452725050170917,Arkansas,Ouachita County,24378.0,11547.0,12831.0,18675.0,9290.0,2.15,53.93,42.18,0.27,0.1,0.0,31574.5,19987.67,26.55,38.88,30.85,17.62,20.17,10.13,21.22,85.83,9.12,0.8,2.02,0.82,1.38,22.43,70.65,23.43,5.92,0.0,8.62
50,AR,51966.0,48.058302167119216,1.3349528379755338,11.0,Cammack Village,96.79024274143912,4.839512137071956,230571.0416666667,Pulaski County,0.5,16.0,0.0225168759858396,0.0007012622720897,0.0232181382579294,Arkansas,Pulaski County,392848.0,188310.0,204538.0,287896.0,182512.0,5.97,49.86,39.58,0.2,1.79,0.03,50102.21,28252.27,19.26,26.34,37.27,19.01,25.17,7.27,11.29,81.83,10.16,1.83,1.54,1.42,3.2,20.26,75.67,19.53,4.55,0.26,6.99
51,AR,51966.0,48.058302167119216,1.3349528379755338,11.0,Caraway,43.92196009664438,2.196098004832219,66028.375,Craighead County,0.0,13.0,0.010132501948558,0.0,0.010132501948558,Arkansas,Craighead County,104246.0,50774.0,53472.0,75467.0,48216.0,5.36,76.54,13.67,0.2,1.04,0.15,46445.94,24690.41,20.1,27.62,33.12,17.79,22.16,9.98,16.94,80.65,12.0,0.26,2.71,0.79,3.58,18.06,79.58,13.85,6.38,0.18,6.69
52,AR,51966.0,48.058302167119216,1.3349528379755338,11.0,Carlisle,43.835199024922225,2.1917599512461114,107057.08333333334,Lonoke County,10.0,67.0,0.0311915963556234,0.0046572283812641,0.0358488247368876,Arkansas,Lonoke County,71568.0,35222.0,36346.0,52084.0,32577.0,4.37,83.11,9.49,0.36,0.65,0.06,54979.12,25225.81,13.01,18.13,34.22,15.94,22.73,12.34,14.76,86.66,7.54,0.16,2.35,0.8,2.46,26.14,76.87,17.93,5.08,0.12,5.08
